code,start_time,home_team,visiting_team
198911030ATL,Indiana Pacers,103,126
199011020ATL,Orlando Magic,115,111
199006010CHI,Detroit Pistons,109,91
199006030DET,Chicago Bulls,93,74
199006050DET,Portland Trail Blazers,105,99
199005010CLE,Philadelphia 76ers,122,95
199005010DAL,Portland Trail Blazers,92,106
199004010BOS,Orlando Magic,133,125
198911030BOS,Milwaukee Bucks,127,114
198911030CHH,Washington Bullets,96,116
198911030CHI,Cleveland Cavaliers,124,119
198911030DAL,Los Angeles Lakers,94,102
199011020BOS,Cleveland Cavaliers,125,101
199011020CHH,New York Knicks,130,134
199011020CHI,Philadelphia 76ers,116,124
199011020DEN,Golden State Warriors,158,162
199011020DET,Milwaukee Bucks,115,104
199006070DET,Portland Trail Blazers,105,106
199006100POR,Detroit Pistons,106,121
199006120POR,Detroit Pistons,109,112
199006140POR,Detroit Pistons,90,92
199005010DEN,San Antonio Spurs,120,131
199005010HOU,Los Angeles Lakers,114,108
199005010IND,Detroit Pistons,96,108
199005010MIL,Chicago Bulls,119,112
199004010CHI,Miami Heat,111,103
199004010CLE,Indiana Pacers,121,91
199004010DAL,Milwaukee Bucks,86,72
199004010GSW,Atlanta Hawks,116,142
199004010LAC,Seattle SuperSonics,104,103
199003010CHH,Los Angeles Clippers,118,109
199002010DEN,New Jersey Nets,123,112
199001020ATL,Milwaukee Bucks,113,107
198911030DET,New York Knicks,106,103
198911030LAC,Houston Rockets,102,88
198911030MIA,New Jersey Nets,90,110
198911030PHO,Golden State Warriors,136,106
198911030POR,Sacramento Kings,114,96
199211060ATL,New York Knicks,94,106
199011020IND,New Jersey Nets,100,81
199011020LAC,Sacramento Kings,90,80
199011020MIA,Washington Bullets,119,95
199011020MIN,Dallas Mavericks,98,85
199011020POR,Houston Rockets,90,89
199411040ATL,Indiana Pacers,92,94
199005020NYK,Boston Celtics,102,99
199005020PHO,Utah Jazz,120,105
199005030CLE,Philadelphia 76ers,108,96
199005030HOU,Los Angeles Lakers,88,109
199005030MIL,Chicago Bulls,86,110
199611010BOS,Chicago Bulls,98,107
199004010LAL,Utah Jazz,119,103
199004010NJN,Washington Bullets,97,105
199004010PHI,Phoenix Suns,141,112
199004030CHI,Indiana Pacers,109,102
199004030DET,Boston Celtics,93,82
199003010DEN,Cleveland Cavaliers,131,125
199003010HOU,Phoenix Suns,112,104
199003010NYK,Philadelphia 76ers,100,105
199003010ORL,Sacramento Kings,100,114
199003010UTA,Portland Trail Blazers,119,102
199002010HOU,Chicago Bulls,139,112
199002010MIL,Orlando Magic,129,111
199002010NYK,Sacramento Kings,96,89
199002010PHO,Atlanta Hawks,102,90
199002020CHH,San Antonio Spurs,107,118
199001020DAL,Indiana Pacers,110,106
199001020GSW,Utah Jazz,133,120
199001020MIN,Los Angeles Clippers,79,87
199001020NYK,Phoenix Suns,99,113
199001020ORL,Detroit Pistons,113,115
199111010BOS,Charlotte Hornets,111,108
199311050ATL,Indiana Pacers,116,110
198911030SEA,Minnesota Timberwolves,106,94
198911030UTA,Denver Nuggets,122,113
198911040CHI,Boston Celtics,100,102
198911040DEN,Phoenix Suns,135,132
199211060BOS,Minnesota Timberwolves,113,92
199211060CHH,Washington Bullets,126,119
199211060CLE,Chicago Bulls,96,101
199211060DET,Milwaukee Bucks,81,86
199211060HOU,Seattle SuperSonics,94,111
